algo,all_dim,seed,gen_cnt,dim,delta,sec,len,cnt
potlll,10,4,1000,10,0.99,4.355,508,2056
potlll,10,4,1000,10,1.0,4.408,516,2071
potlll,15,0,1000,15,0.99,37.008,1062,4696
potlll,15,0,1000,15,1.0,33.043,1107,4746
potlll,15,1,1000,15,0.99,34.078,1162,5017
potlll,15,1,1000,15,1.0,36.107,1176,5002
potlll,15,2,1000,15,0.99,31.164,1120,4895
potlll,15,2,1000,15,1.0,35.864,1166,5002
potlll,15,3,1000,15,0.99,42.014,1257,5479
potlll,15,3,1000,15,1.0,36.996,1299,5569
potlll,15,4,1000,15,0.99,38.992,1027,4481
potlll,15,4,1000,15,1.0,33.097,1061,4553
potlll,20,0,1000,20,0.99,174.926,2095,9403
potlll,20,0,1000,20,1.0,185.701,2226,9736
potlll,20,1,1000,20,0.99,294.227,2217,10019
potlll,20,1,1000,20,1.0,188.579,2300,10120
potlll,20,2,1000,20,0.99,167.54,2361,10722
potlll,20,2,1000,20,1.0,213.289,2435,10623
potlll,20,3,1000,20,0.99,128.597,2001,9105
potlll,20,3,1000,20,1.0,132.089,2125,9328
potlll,20,4,1000,20,0.99,141.901,1994,9110
potlll,20,4,1000,20,1.0,145.412,2153,9550
potlll,25,0,1000,25,0.99,461.467,3294,15211
potlll,25,0,1000,25,1.0,487.761,3460,15398
potlll,25,1,1000,25,0.99,458.362,3444,15897
potlll,25,1,1000,25,1.0,525.33,3570,16006
potlll,25,2,1000,25,0.99,517.525,3218,14965
potlll,25,2,1000,25,1.0,479.021,3470,15538
potlll,25,3,1000,25,0.99,492.153,3362,15431
potlll,25,3,1000,25,1.0,508.269,3525,15711
potlll,25,4,1000,25,0.99,504.33,3252,14928
potlll,25,4,1000,25,1.0,537.325,3686,16177
potlll,30,0,1000,30,0.99,1176.61,4727,21913
potlll,30,0,1000,30,1.0,1218.428,4999,22377
potlll,30,1,1000,30,0.99,1117.031,4756,22030
potlll,30,1,1000,30,1.0,1128.515,4897,21835
potlll,30,2,1000,30,0.99,1268.78,5046,23240
potlll,30,2,1000,30,1.0,1325.194,5324,23915
potlll,30,3,1000,30,0.99,1282.119,4877,22518
potlll,30,3,1000,30,1.0,1281.584,5143,22918
potlll,30,4,1000,30,0.99,1217.209,4996,22989
potlll,30,4,1000,30,1.0,1237.177,5118,22837
potlll,35,0,1000,35,0.99,3378.159,6954,32454
potlll,35,0,1000,35,1.0,3264.857,7512,34158
potlll,35,1,1000,35,0.99,3511.967,6550,30183
potlll,35,1,1000,35,1.0,3060.51,6863,30941
potlll,35,2,1000,35,0.99,2669.622,6018,28112
potlll,35,2,1000,35,1.0,2668.151,6480,28978
potlll,35,3,1000,35,0.99,3038.271,6652,31231
potlll,35,3,1000,35,1.0,2895.677,6984,31566
potlll,35,4,1000,35,0.99,2762.406,6610,30597
potlll,35,4,1000,35,1.0,2958.772,6899,31122
potlll,40,0,1000,40,0.99,5559.42,7869,36951
potlll,40,0,1000,40,1.0,6440.258,8372,38051
