algo,all_dim,seed,dim,delta,sec,len,cnt
deeplll10,40,4,40,1.0,1256.376,2258,39906
lll,40,0,10,0.99,24.272,1862,3421
lll,40,0,10,1.0,23.635,1901,3496
lll,40,0,15,0.99,197.288,4465,8556
lll,40,0,15,1.0,227.057,4623,8873
lll,40,0,20,0.99,856.299,7995,15577
lll,40,0,20,1.0,860.659,8149,15884
lll,40,0,25,0.99,2560.313,12183,23929
lll,40,0,25,1.0,2644.232,12521,24605
lll,40,0,30,0.99,5926.011,16649,32844
lll,40,0,30,1.0,6306.46,17321,34193
lll,40,0,35,0.99,11451.729,21221,41981
lll,40,0,35,1.0,12791.826,22548,44637
lll,40,0,40,0.99,20902.902,26073,51679
lll,40,0,40,1.0,22167.322,27687,54908
lll,40,1,10,0.99,24.71,2018,3703
lll,40,1,10,1.0,26.25,2046,3754
lll,40,1,15,0.99,185.778,4460,8527
lll,40,1,15,1.0,191.137,4600,8794
lll,40,1,20,0.99,796.364,7952,15472
lll,40,1,20,1.0,857.146,8476,16502
lll,40,1,25,0.99,2396.605,12140,23823
lll,40,1,25,1.0,2584.782,13078,25676
lll,40,1,30,0.99,5353.852,16392,32317
lll,40,1,30,1.0,6063.181,18124,35749
lll,40,1,35,0.99,11744.305,21432,42388
lll,40,1,35,1.0,13082.557,23010,45509
lll,40,1,40,0.99,21498.541,26116,51752
lll,40,1,40,1.0,21542.143,27728,54941
lll,40,2,10,0.99,24.17,2036,3760
lll,40,2,10,1.0,24.874,2066,3814
lll,40,2,15,0.99,184.65,4489,8598
lll,40,2,15,1.0,186.301,4553,8720
lll,40,2,20,0.99,799.019,7948,15471
lll,40,2,20,1.0,891.248,8310,16180
lll,40,2,25,0.99,2360.481,11828,23211
lll,40,2,25,1.0,2479.455,12626,24792
lll,40,2,30,0.99,5370.659,16152,31844
lll,40,2,30,1.0,6060.069,17663,34853
lll,40,2,35,0.99,11204.641,20835,41200
lll,40,2,35,1.0,12523.448,22882,45281
lll,40,2,40,0.99,21078.074,25890,51305
lll,40,2,40,1.0,22506.824,28086,55685
lll,40,3,10,0.99,25.592,2052,3771
lll,40,3,10,1.0,26.255,2087,3838
lll,40,3,15,0.99,199.792,4602,8812
lll,40,3,15,1.0,203.578,4748,9096
lll,40,3,20,0.99,899.031,7892,15358
lll,40,3,20,1.0,890.316,8223,16012
lll,40,3,25,0.99,2768.737,11950,23450
lll,40,3,25,1.0,2777.219,12471,24487
lll,40,3,30,0.99,5444.568,16436,32407
lll,40,3,30,1.0,6772.492,17332,34199
lll,40,3,35,0.99,14704.027,21096,41717
lll,40,3,35,1.0,12096.884,22332,44191
lll,40,3,40,0.99,23082.69,25780,51083
lll,40,3,40,1.0,27362.313,27344,54208
lll,40,4,10,0.99,25.799,1998,3675
lll,40,4,10,1.0,29.667,2047,3769
lll,40,4,15,0.99,200.814,4624,8864
lll,40,4,15,1.0,209.199,4794,9194
lll,40,4,20,0.99,853.632,8188,15954
lll,40,4,20,1.0,888.012,8556,16677
lll,40,4,25,0.99,2414.111,12074,23702
lll,40,4,25,1.0,2563.28,12826,25192
lll,40,4,30,0.99,5485.173,16313,32170
lll,40,4,30,1.0,6104.948,17679,34885
lll,40,4,35,0.99,11339.503,20816,41169
lll,40,4,35,1.0,12398.914,22940,45397
lll,40,4,40,0.99,21009.477,25525,50583
lll,40,4,40,1.0,22629.63,28013,55541
potlll,40,0,10,0.99,13.928,706,2355
potlll,40,0,10,1.0,13.981,726,2387
potlll,40,0,15,0.99,121.411,1570,6174
potlll,40,0,15,1.0,126.051,1611,6240
potlll,40,0,20,0.99,555.638,2860,12031
potlll,40,0,20,1.0,576.028,3009,12343
potlll,40,0,25,0.99,1825.154,4605,20007
potlll,40,0,25,1.0,1931.435,4872,20703
potlll,40,0,30,0.99,4383.288,6640,29283
potlll,40,0,30,1.0,4689.686,6933,30022
potlll,40,0,35,0.99,9319.02,8897,39705
potlll,40,0,35,1.0,10067.418,9487,41380
potlll,40,0,40,0.99,18540.373,11530,52237
potlll,40,0,40,1.0,19937.162,12232,53777
potlll,40,1,10,0.99,13.852,766,2475
potlll,40,1,10,1.0,14.57,785,2522
potlll,40,1,15,0.99,107.967,1555,5980
