file_path,sec,len,cnt
results/deeplll05/ndim15seed3cnt1000dim15delta0.98999995.txt,25.494,687,8195
results/deeplll05/ndim15seed3cnt1000dim15delta1.txt,26.603,735,8644
results/deeplll05/ndim15seed4cnt1000dim15delta0.98999995.txt,21.982,688,8106
results/deeplll05/ndim15seed4cnt1000dim15delta1.txt,21.076,622,7071
results/deeplll05/ndim20seed0cnt1000dim20delta0.98999995.txt,50.605,428,5104
results/deeplll05/ndim20seed0cnt1000dim20delta1.txt,52.585,454,5382
results/deeplll05/ndim20seed1cnt1000dim20delta0.98999995.txt,47.32,387,4432
results/deeplll05/ndim20seed1cnt1000dim20delta1.txt,49.317,408,4570
results/deeplll05/ndim20seed2cnt1000dim20delta0.98999995.txt,54.488,452,5150
results/deeplll05/ndim20seed2cnt1000dim20delta1.txt,65.43,553,6458
results/deeplll05/ndim20seed3cnt1000dim20delta0.98999995.txt,41.464,377,4560
results/deeplll05/ndim20seed3cnt1000dim20delta1.txt,46.029,422,5306
results/deeplll05/ndim20seed4cnt1000dim20delta0.98999995.txt,60.752,566,6977
results/deeplll05/ndim20seed4cnt1000dim20delta1.txt,53.976,489,5813
results/deeplll05/ndim25seed0cnt1000dim25delta0.98999995.txt,99.759,388,4895
results/deeplll05/ndim25seed0cnt1000dim25delta1.txt,57.561,213,2458
results/deeplll05/ndim25seed1cnt1000dim25delta0.98999995.txt,86.083,311,3924
results/deeplll05/ndim25seed1cnt1000dim25delta1.txt,86.433,315,3919
results/deeplll05/ndim25seed2cnt1000dim25delta0.98999995.txt,48.18,176,2110
results/deeplll05/ndim25seed2cnt1000dim25delta1.txt,99.267,386,4873
results/deeplll05/ndim25seed3cnt1000dim25delta0.98999995.txt,80.283,318,3976
results/deeplll05/ndim25seed3cnt1000dim25delta1.txt,80.432,326,3933
results/deeplll05/ndim25seed4cnt1000dim25delta0.98999995.txt,71.775,269,3265
results/deeplll05/ndim25seed4cnt1000dim25delta1.txt,61.701,240,2773
results/deeplll05/ndim30seed0cnt1000dim30delta0.98999995.txt,90.052,177,2243
results/deeplll05/ndim30seed0cnt1000dim30delta1.txt,87.91,171,2161
results/deeplll05/ndim30seed1cnt1000dim30delta0.98999995.txt,130.139,286,3853
results/deeplll05/ndim30seed1cnt1000dim30delta1.txt,71.549,147,1802
results/deeplll05/ndim30seed2cnt1000dim30delta0.98999995.txt,133.03,256,3364
results/deeplll05/ndim30seed2cnt1000dim30delta1.txt,115.823,217,2774
results/deeplll05/ndim30seed3cnt1000dim30delta0.98999995.txt,106.576,208,2575
